DATE M500 SP500 M400
199509 0.029005 0.04217989 -0.001347
199510 -0.024374 -0.00296010 -0.049056
199511 0.030476 0.04307803 0.020630
199512 0.013865 0.01939320 0.017084
199601 0.000292 0.03448419 -0.020197
199602 0.023820 0.00874211 0.027578
199603 0.009262 0.00971233 0.032923
199604 0.028682 0.01538330 0.064498
199605 0.035138 0.02477942 0.063571
199606 -0.013537 0.00413978 -0.039647
199607 -0.058226 -0.04380946 -0.075978
199608 0.035944 0.02112671 0.063617
199609 0.024479 0.05616624 0.037598
199610 0.022515 0.02757121 0.013352
199611 0.033126 0.07551720 0.058626
199612 0.026758 -0.01981426 0.034591
199701 0.016554 0.06243746 0.023026
199702 0.005126 0.00784816 -0.009318
199703 -0.022094 -0.04100801 -0.044109
199704 -0.009283 0.05964705 -0.011640
199705 0.060821 0.06083554 0.108620
199706 0.045089 0.04477309 0.018331
199707 0.040698 0.07952404 0.090737
199708 0.010443 -0.05597862 0.033644
199709 0.063717 0.05473203 0.067404
199710 -0.018630 -0.03335858 -0.036840
199711 0.032309 0.04625979 0.014620
199712 0.051027 0.01716551 0.006045
199801 -0.024121 0.01104959 0.010746
199802 0.068477 0.07208270 0.061658
199803 0.048881 0.05116740 0.020863
199804 -0.014723 0.01005582 0.011247
199805 -0.024216 -0.01716483 -0.045743
199806 -0.012211 0.04058965 -0.023646
199807 -0.059609 -0.01062143 -0.064292
199808 -0.112252 -0.14443056 -0.179251
199809 0.034434 0.06406381 0.042047
199810 0.064387 0.08126862 0.148558
199811 0.033248 0.06058325 0.099250
199812 0.018921 0.05758703 0.033320
199901 -0.050997 0.04180096 0.036900
199902 -0.054612 -0.03107436 -0.101533
199903 -0.055579 0.03999822 -0.046560
199904 0.135864 0.03872447 0.084213
199905 0.056832 -0.02358034 0.073695
199906 0.028598 0.05545305 0.103168
199907 -0.001733 -0.03119450 0.016042
199908 -0.041094 -0.00495063 -0.043584
199909 -0.029696 -0.02738013 0.019649
199910 -0.036260 0.06325358 -0.016631
199911 -0.005552 0.02032680 0.015063
199912 0.002606 0.05886127 0.043918
200001 -0.020120 -0.05023652 -0.049656
200002 -0.012798 -0.01890983 0.036506
200003 0.077105 0.09776569 0.034365
200004 0.014163 -0.03007514 -0.025016
200005 -0.013415 -0.02052767 -0.067644
200006 -0.001994 0.02465719 -0.007357
200007 0.069750 -0.01562010 0.050721
200008 0.072387 0.06207935 0.054980
200009 0.012188 -0.05277990 -0.011955
200010 0.011158 -0.00424153 0.005474
200011 0.015424 -0.07878201 -0.021010
200012 0.086755 0.00490589 0.064938
200101 0.101942 0.03545763 0.154217
200102 0.045130 -0.09112305 -0.006515
200103 -0.040877 -0.06331516 -0.050009
200104 0.058884 0.07764860 0.088985
200105 0.052615 0.00670850 0.037161
200106 0.036922 -0.02432992 0.075961
200107 0.019877 -0.00984793 -0.009290
200108 0.012683 -0.06253891 0.001643
200109 -0.129868 -0.08074596 -0.180847
200110 0.042052 0.01907987 0.074904
200111 0.091567 0.07668761 0.100867
200112 0.043746 0.00876563 0.064613
200201 0.037104 -0.01458522 0.055561
200202 0.020956 -0.01928951 -0.005051
200203 0.084631 0.03761351 0.089129
200204 0.055290 -0.06060102 0.065001
200205 -0.015826 -0.00734131 -0.046993
200206 -0.019142 -0.07120528 -0.017570
200207 -0.119932 -0.07793134 -0.127688
200208 0.014548 0.00654659 0.004525
200209 -0.079844 -0.10858231 -0.072577
200210 0.017295 0.08794525 0.060981
200211 0.066686 0.05878953 0.108697
200212 -0.026756 -0.05871773 -0.048717
200301 -0.046915 -0.02614626 -0.062141
200302 -0.035347 -0.01502629 -0.041348
200303 0.010235 0.00968198 0.005745
200304 0.096627 0.08233158 0.133453
200305 0.108341 0.05263709 0.091395
200306 0.050308 0.01277514 0.049527
200307 0.037065 0.01763982 0.057019
200308 0.047544 0.01946360 0.053582
200309 -0.022784 -0.01058819 -0.037705
200310 0.082998 0.05654086 0.072533
200311 0.048001 0.00878834 0.038683
200312 0.029020 0.05240786 0.023007
200401 0.039918 0.01835114 0.023933
200402 0.032624 0.01389495 0.042530
200403 0.015814 -0.01508463 0.007592
200404 -0.018204 -0.01567736 -0.026470
200405 -0.003059 0.01369548 -0.003313
200406 0.054407 0.01943909 0.035496
200407 -0.045671 -0.03309316 -0.034872
200408 -0.005838 0.00401645 0.009944
200409 0.038474 0.01082192 0.035001
200410 -0.002012 0.01527750 0.014359
200411 0.090137 0.04044859 0.068328
200412 0.062882 0.03401799 0.040350
200501 -0.005515 -0.02437455 -0.020909
200502 0.020607 0.02103245 0.033603
200503 -0.008286 -0.01768943 0.002632
200504 -0.055537 -0.01895662 -0.064675
200505 0.045455 0.03179064 0.053311
200506 0.029355 0.00143265 0.030135
200507 0.067495 0.03717274 0.073636
200508 -0.024836 -0.00911942 -0.021879
200509 -0.007159 0.00809535 -0.010433
200510 -0.032312 -0.01667955 -0.012619
200511 0.042685 0.03778428 0.069112
200512 -0.009387 0.00035455 0.007611
200601 0.054596 0.02647702 0.105891
200602 0.007481 0.00270530 0.007256
200603 0.052809 0.01244515 0.092936
200604 -0.000980 0.01341875 -0.027960
200605 -0.039281 -0.02874539 -0.033445
200606 -0.001541 0.00132746 -0.030367
200607 -0.029575 0.00616360 -0.012399
200608 -0.004873 0.02375730 0.009555
200609 0.011446 0.02575432 0.043539
200610 0.028335 0.03256653 0.037560
200611 0.029622 0.01898776 0.031698
200612 0.018871 0.01402869 0.006452
200701 0.029519 0.01510823 0.019895
200702 -0.010422 -0.01950022 0.023215
200703 -0.013649 0.01115992 0.030443
200704 0.013805 0.04428234 0.034229
200705 0.044884 0.03486039 0.036217
200706 -0.025886 -0.01660242 -0.027066
200707 -0.076303 -0.03096751 -0.082470
200708 -0.007418 0.01496836 -0.025286
200709 -0.023798 0.03735982 -0.016959
200710 0.001988 0.01590437 -0.001538
200711 -0.094583 -0.04182383 -0.090266
200712 -0.008940 -0.00692035 -0.010493
200801 -0.024913 -0.05997371 0.016526
200802 -0.033764 -0.03245947 -0.046988
200803 0.006363 -0.00432727 -0.002525
200804 0.016154 0.04869207 0.047144
200805 0.038515 0.01295044 0.061603
200806 -0.106521 -0.08422428 -0.122045
200807 0.055120 -0.00840937 0.050870
200808 0.048086 0.01447317 0.055310
200809 -0.058153 -0.08900712 -0.076337
200810 -0.217854 -0.16792843 -0.234941
200811 -0.139500 -0.07177806 -0.179860
200812 0.105812 0.01053736 0.129914
200901 -0.124703 -0.08418600 -0.103057
200902 -0.117031 -0.10613527 -0.113166
200903 0.143507 0.08743963 0.134422
200904 0.252186 0.09562585 0.302065
200905 -0.005302 0.05586554 0.046517
200906 0.012490 0.00199643 -0.039233
200907 0.131638 0.07553844 0.116207
200908 0.055860 0.03605339 0.091315
200909 0.057346 0.03728910 0.067462
200910 -0.030464 -0.01855300 -0.012826
200911 0.042281 0.05996680 0.016215
200912 0.056566 0.01930670 0.080482
201001 -0.027368 -0.03591875 -0.047820
201002 0.051679 0.03093205 0.035142
201003 0.054262 0.06032196 0.096513
201004 0.036113 0.01579145 0.063132
201005 -0.053144 -0.07976809 -0.068300
201006 -0.098583 -0.05227784 -0.083981
201007 0.062665 0.07003134 0.095211
201008 -0.051149 -0.04505991 -0.060330
201009 0.121960 0.08920645 0.108794
201010 0.029735 0.03803628 0.083906
201011 0.013878 0.00015888 0.052004
201012 0.038698 0.06681547 0.042349
201101 0.014824 0.02369199 0.000388
201102 0.033276 0.03424408 0.021155
201103 0.028834 0.00038502 0.021689
201104 0.014499 0.02958826 0.032209
201105 -0.015851 -0.01133169 -0.024300
201106 -0.012648 -0.01671276 -0.009207
201107 -0.045711 -0.02030455 -0.010781
201108 -0.053123 -0.05439378 -0.071588
201109 -0.088939 -0.07024014 -0.077528
201110 0.129085 0.10919729 0.133107
201111 0.006732 -0.00224527 -0.001918
201112 0.007615 0.01020562 0.000514
201201 0.053922 0.04479882 0.080617
201202 0.030955 0.04320982 0.037409
201203 0.017593 0.03288398 0.021917
201204 -0.034318 -0.00628270 -0.039128
201205 -0.078424 -0.06004178 -0.093842
201206 0.039095 0.04115070 0.055840
201207 -0.024155 0.01386988 -0.025929
201208 0.018804 0.02251617 0.005924
201209 0.022753 0.02582932 0.014049
201210 -0.006891 -0.01843103 -0.034956
201211 0.014700 0.00574300 0.006167
201212 0.027129 0.00910760 0.039952
201301 0.064659 0.05177361 0.043953
201302 0.005300 0.01357243 0.016945
201303 0.052908 0.03748779 0.026622
201304 0.017046 0.01924496 0.028033
201305 0.058418 0.02339866 0.088746
201306 0.010714 -0.01341967 -0.007556
201307 0.099273 0.05085975 0.089406
201308 -0.029416 -0.02890676 -0.027910
201309 0.036824 0.03136187 0.056136
201310 0.062441 0.04591775 0.063236
201311 0.046695 0.03043996 0.059027
201312 0.017510 0.02527896 0.017773
201401 -0.031788 -0.03455063 -0.059073
201402 0.050958 0.04566950 0.048113
201403 0.023230 0.00840141 0.011587
201404 -0.030553 0.00737687 -0.022827
201405 0.013492 0.02342366 -0.010198
201406 0.039015 0.02064287 0.022914
201407 -0.034857 -0.01376777 -0.048508
201408 0.060472 0.03994986 0.057940
201409 -0.052097 -0.01400640 -0.077840
201410 0.043435 0.02437471 0.028369
201411 0.015145 0.02686603 -0.004382
201412 0.019234 -0.00251939 0.013481
