DATE SP500 Lo30 Med40 Hi30 Lo20 Qnt2 Qnt3 Qnt4 Hi20 Lo10 Dec02 Dec03 Dec04 Dec05 Dec06 Dec07 Dec08 Dec09 Hi10
196606 -0.013351905 -0.0193 -0.0006 -0.0014 -0.0185 -0.0124 -0.002 0.0123 -0.0038 -0.0148 -0.0277 -0.0227 -0.0047 -0.0027 -0.0012 0.0174 0.004 -0.0034 -0.0044
196607 -0.010738725 -0.0163 -0.0067 -0.0109 -0.0162 -0.0149 -0.0082 0.0008 -0.0154 -0.0217 -0.0077 -0.0164 -0.0128 -0.0011 -0.0142 0.0045 -0.0046 -0.0052 -0.024
196608 -0.075000009 -0.0777 -0.0682 -0.0803 -0.0756 -0.0865 -0.0622 -0.0702 -0.0883 -0.071 -0.0827 -0.0869 -0.086 -0.0758 -0.0507 -0.0707 -0.0693 -0.0828 -0.0931
196609 -0.004020666 -0.0102 0.001 -0.0068 -0.0131 0.0048 0.0019 -0.0043 -0.0133 -0.0269 0.0084 0.0028 0.0076 -0.0023 0.0055 -0.0084 0.0019 -0.0126 -0.014
196610 0.050940432 0.0301 0.0674 0.0419 0.0241 0.0493 0.079 0.0524 0.0377 0.0256 0.0218 0.0561 0.0396 0.0724 0.0845 0.0558 0.0475 0.0452 0.0313
196611 0.006359102 0.0385 -0.0066 0.0001 0.043 0.0212 -0.0165 -0.0016 0.0016 0.0769 -0.008 0.0195 0.0237 -0.0156 -0.0174 -0.0014 -0.002 -0.003 0.0057
196612 0.001740082 -0.0025 0.0149 0.0012 -0.0032 0.0074 0.0143 0.008 0.0034 -0.012 0.0112 0.0007 0.0169 0.0048 0.0222 0.0145 -0.0018 0.0079 -0.0004
196701 0.081165191 0.0825 0.0704 0.1341 0.0835 0.079 0.0634 0.0973 0.1472 0.0792 0.0905 0.0782 0.0802 0.0489 0.0752 0.0844 0.117 0.1372 0.156
196702 0.004156684 0.0212 -0.0012 -0.0013 0.0242 0.0069 -0.0042 -0.0001 0.0008 0.0376 0.0028 0.0083 0.005 -0.0083 -0.0009 0.0026 -0.0041 -0.006 0.0066
196703 0.042776448 0.0433 0.0397 0.0515 0.0449 0.0357 0.0368 0.052 0.0543 0.0454 0.0441 0.0365 0.0346 0.0343 0.0388 0.0548 0.0478 0.0631 0.0467
196704 0.044900196 0.0597 0.0196 0.0318 0.0679 0.0302 0.0092 0.0376 0.0241 0.0744 0.0571 0.0236 0.0393 0.0092 0.0092 0.0346 0.0421 0.0214 0.0265
196705 -0.049888398 -0.0488 -0.0334 -0.0244 -0.0517 -0.0322 -0.0355 -0.0284 -0.0261 -0.0548 -0.0463 -0.0356 -0.0275 -0.0286 -0.0408 -0.0327 -0.0221 -0.0372 -0.0166
196706 0.020206702 0.0172 0.0258 0.0522 0.0193 0.0157 0.0233 0.0438 0.0467 0.0313 -0.001 0.0078 0.0266 0.016 0.029 0.0331 0.0596 0.0474 0.0461
196707 0.047992063 0.0499 0.038 0.0806 0.0458 0.056 0.0293 0.0683 0.0828 0.0455 0.0463 0.0611 0.0471 0.012 0.0634 0.0642 0.0756 0.0957 0.0685
196708 -0.009182065 -0.0074 -0.0077 0.0099 -0.0069 -0.0091 -0.012 0.0073 0.0174 -0.0101 -0.0014 -0.0087 -0.01 -0.013 -0.01 0.0158 -0.0077 0.0224 0.0117
196709 0.035348057 0.0392 0.0291 0.0206 0.0395 0.0309 0.0329 0.0333 0.0129 0.0518 0.0188 0.0385 0.0176 0.0385 0.0224 0.03 0.0391 0.0183 0.0069
196710 -0.026367468 -0.0147 -0.0363 -0.0497 -0.0079 -0.0401 -0.0295 -0.0411 -0.0533 0.0139 -0.0458 -0.0331 -0.0528 -0.0197 -0.0487 -0.041 -0.0413 -0.0461 -0.0614
196711 0.003833931 0.011 0.0038 -0.0038 0.0154 0.0039 0.002 -0.0036 -0.003 0.0167 0.013 -0.0011 0.0132 0.0048 -0.0036 -0.0025 -0.0055 -0.0123 0.0077
196712 0.029042404 0.0249 0.0361 0.0524 0.0234 0.0337 0.0296 0.0577 0.0488 0.017 0.0353 0.0289 0.0424 0.0273 0.0345 0.056 0.0607 0.0497 0.0479
196801 -0.041256311 -0.0599 -0.0105 -0.0007 -0.0633 -0.0466 0.0015 -0.0063 -0.0072 -0.0858 -0.022 -0.0505 -0.0395 0.0003 0.0039 -0.018 0.0145 -0.0103 -0.0038
196802 -0.028512632 -0.0349 -0.0237 -0.0384 -0.0352 -0.0268 -0.0245 -0.0394 -0.0349 -0.0366 -0.0329 -0.0339 -0.014 -0.0214 -0.0306 -0.0355 -0.0462 -0.0372 -0.0323
196803 0.012197983 0.0172 -0.0075 0.0012 0.027 -0.0118 -0.0053 -0.0087 0.0079 0.0368 0.0101 -0.0097 -0.0153 -0.0013 -0.0134 -0.0054 -0.0143 0.0114 0.0039
196804 0.084700661 0.105 0.0618 0.1239 0.1133 0.0801 0.047 0.1125 0.1247 0.1225 0.097 0.0812 0.078 0.0369 0.0679 0.107 0.122 0.1126 0.139
196805 0.013730878 0.0276 0.0091 0.0616 0.0293 0.0229 0.004 0.0279 0.0634 0.04 0.01 0.0227 0.0232 -0.004 0.0201 0.0107 0.0575 0.057 0.0708
196806 0.01165377 -0.0003 0.0337 0.0021 -0.0018 0.0118 0.039 0.0261 -0.0101 -0.0118 0.0169 0.0042 0.0254 0.0344 0.048 0.023 0.0311 -0.0083 -0.0121
196807 -0.015967027 -0.0463 -0.0007 0.004 -0.0541 -0.0177 0.0056 0.0037 0.0025 -0.057 -0.0488 -0.0199 -0.0148 -0.0243 0.0254 0.0014 0.0051 0.0218 -0.016
196808 0.014016731 0.0139 0.0158 0.0274 0.0136 0.0118 0.0203 0.0183 0.0363 0.013 0.0146 0.0151 0.0078 0.0159 0.0231 0.0144 0.0207 0.0478 0.0252
196809 0.041068313 0.0364 0.0451 0.0501 0.0293 0.0564 0.0302 0.0485 0.0731 0.0182 0.0489 0.0596 0.0524 0.0352 0.0271 0.0745 0.0331 0.0699 0.0761
196810 0.009934647 -0.0062 0.0171 0.0295 -0.015 0.0181 0.0203 0.0311 0.0142 -0.031 0.0123 0.0222 0.0128 0.0248 0.0175 0.0144 0.0414 0.0042 0.0234
196811 0.050672152 0.0574 0.058 0.0564 0.0654 0.0431 0.0619 0.0546 0.0549 0.0751 0.0496 0.0327 0.0567 0.0538 0.0671 0.0498 0.0576 0.084 0.0287
196812 -0.039033035 -0.0438 -0.0308 -0.0309 -0.0468 -0.0396 -0.0301 -0.0282 -0.0227 -0.0457 -0.0486 -0.0345 -0.0461 -0.0209 -0.0359 -0.0133 -0.037 -0.0264 -0.0192
196901 -0.005680637 -0.0182 0.0003 0.0031 -0.0217 -0.0045 0.0041 -0.0038 0.0094 -0.0286 -0.0102 -0.007 -0.0014 0.0008 0.0063 -0.0071 -0.0017 -0.0071 0.0249
196902 -0.044850065 -0.0453 -0.0557 -0.0538 -0.0459 -0.0453 -0.0525 -0.0534 -0.0701 -0.044 -0.0489 -0.0435 -0.0477 -0.062 -0.0465 -0.0736 -0.0413 -0.069 -0.0711
196903 0.037093705 0.0383 0.0249 0.029 0.0414 0.0212 0.0329 0.0195 0.0426 0.0408 0.0425 0.0285 0.0118 0.0282 0.0358 0.0208 0.0188 0.07 0.0173
196904 0.02403697 0.0302 0.0052 0.0267 0.0344 0.0121 0.0078 0.023 0.0121 0.0359 0.0319 0.0169 0.0058 0.0121 0.005 -0.0022 0.0378 0.0263 -0.0017
196905 0.000289365 -0.0019 0.0071 0.0079 -0.0044 0.0026 0.0102 0.0135 -0.0023 -0.0023 -0.0079 0.0062 -0.0023 0.0132 0.0083 0.0105 0.0153 0.0035 -0.0083
196906 -0.053063991 -0.0415 -0.0819 -0.0742 -0.0314 -0.0761 -0.079 -0.074 -0.0906 -0.0165 -0.0564 -0.0746 -0.0781 -0.0661 -0.0872 -0.0942 -0.0626 -0.0979 -0.0827
196907 -0.057517198 -0.054 -0.0772 -0.0614 -0.0521 -0.0689 -0.0671 -0.0767 -0.0615 -0.0442 -0.0739 -0.0591 -0.0883 -0.0641 -0.0711 -0.0869 -0.0613 -0.0597 -0.0655
196908 0.042905461 0.0674 0.0446 0.0274 0.0738 0.0514 0.0419 0.0413 0.023 0.0727 0.0768 0.0502 0.0537 0.0315 0.0558 0.0445 0.0366 0.025 0.0183
196909 -0.022301325 -0.0056 -0.0343 -0.0455 -0.0033 -0.0206 -0.0245 -0.0489 -0.0427 -0.0035 -0.0026 -0.0121 -0.0381 -0.0116 -0.0415 -0.0474 -0.0512 -0.0437 -0.0405
196910 0.047250809 0.0667 0.0486 0.0413 0.0687 0.0596 0.0566 0.0342 0.0432 0.07 0.0651 0.061 0.0567 0.0557 0.0577 0.0321 0.0374 0.044 0.0412
196911 -0.032394005 -0.0244 -0.0396 -0.0383 -0.0195 -0.04 -0.0386 -0.0464 -0.0289 -0.0144 -0.0343 -0.0381 -0.0439 -0.0343 -0.0445 -0.0389 -0.0575 -0.0168 -0.0576
196912 -0.015669972 -0.0029 -0.0211 -0.0458 0.0022 -0.0218 -0.0206 -0.0226 -0.0526 0.0133 -0.03 -0.0175 -0.0311 -0.0192 -0.0225 -0.0167 -0.0314 -0.0536 -0.05
197001 -0.073647716 -0.0791 -0.0823 -0.0533 -0.0833 -0.0721 -0.0779 -0.0845 -0.0414 -0.0877 -0.07 -0.0666 -0.084 -0.0669 -0.0928 -0.0886 -0.0782 -0.0461 -0.03
197002 0.055751724 0.0354 0.0748 0.0787 0.0359 0.0473 0.0804 0.0706 0.0783 0.0313 0.0497 0.0339 0.0768 0.0839 0.0756 0.0646 0.0797 0.0778 0.0796
197003 0.004357426 -0.022 0.0126 0.0101 -0.0293 -0.0047 0.021 0.0072 0.0149 -0.031 -0.0245 -0.0008 -0.0128 0.0341 0.0023 0.012 -0.0002 0.0166 0.0108
197004 -0.0875823 -0.1143 -0.099 -0.0786 -0.1237 -0.1008 -0.0971 -0.078 -0.0852 -0.1178 -0.1412 -0.0877 -0.1286 -0.0945 -0.1009 -0.0872 -0.064 -0.0865 -0.0822
197005 -0.057777255 -0.082 -0.0465 -0.0457 -0.0868 -0.0697 -0.0624 -0.0202 -0.0496 -0.082 -0.1014 -0.0689 -0.0715 -0.0687 -0.0531 -0.0087 -0.0374 -0.0422 -0.0678
197006 -0.046636217 -0.0568 -0.0353 -0.0669 -0.0627 -0.0439 -0.0405 -0.0264 -0.0818 -0.0709 -0.0372 -0.0411 -0.0504 -0.0437 -0.0358 -0.0206 -0.0353 -0.0805 -0.0851
197007 0.076870227 0.0524 0.0959 0.0771 0.0472 0.0828 0.0869 0.1015 0.0726 0.0248 0.0909 0.0793 0.0849 0.0854 0.0888 0.1126 0.0813 0.0985 0.0503
